nested_records/find_number_customers_same_country
Problem:
return customers in same country


Query Sql String:
     SELECT
       cu.first_name,
       cu.last_name,
       (
         SELECT count(*)
         FROM customer as cu2
           JOIN address
             USING (address_id)
           JOIN city as ci2
             USING (city_id)
         WHERE ci2.country_id = ci.country_id
       ) as customers_from_same_country
     FROM customer as cu
       JOIN address
         USING (address_id)
       JOIN city as ci
         USING (city_id)

The formatted plan as returned by the database:
 +----+------------------+-------+----------+------+-------------------------+-----------------+-------+-------------------------+----+--------+-----------+
|  id|select_type       |table  |partitions|type  |possible_keys            |key              |key_len|ref                      |rows|filtered|Extra      |
+----+------------------+-------+----------+------+-------------------------+-----------------+-------+-------------------------+----+--------+-----------+
|   1|PRIMARY           |cu     |{null}    |ALL   |idx_fk_address_id        |{null}           |{null} |{null}                   | 599|   100.0|{null}     |
|   1|PRIMARY           |address|{null}    |eq_ref|PRIMARY,idx_fk_city_id   |PRIMARY          |4      |sakila.cu.address_id     |   1|   100.0|{null}     |
|   1|PRIMARY           |ci     |{null}    |eq_ref|PRIMARY                  |PRIMARY          |4      |sakila.address.city_id   |   1|   100.0|{null}     |
|   2|DEPENDENT SUBQUERY|ci2    |{null}    |ref   |PRIMARY,idx_fk_country_id|idx_fk_country_id|4      |sakila.ci.country_id     |   5|   100.0|Using index|
|   2|DEPENDENT SUBQUERY|address|{null}    |ref   |PRIMARY,idx_fk_city_id   |idx_fk_city_id   |4      |sakila.ci2.city_id       |   1|   100.0|Using index|
|   2|DEPENDENT SUBQUERY|cu2    |{null}    |ref   |idx_fk_address_id        |idx_fk_address_id|4      |sakila.address.address_id|   1|   100.0|Using index|
+----+------------------+-------+----------+------+-------------------------+-----------------+-------+-------------------------+----+--------+-----------+

The cost the database associated with the execution of the query:  NaN
The estimated number of rows (cardinality) that is to be returned by the query: 599.0
The actual number of rows (cardinality) returned by the query:  599

Result Records:
  +----------+---------+---------------------------+
|first_name|last_name|customers_from_same_country|
+----------+---------+---------------------------+
|MARY      |SMITH    |                         31|
|PATRICIA  |JOHNSON  |                         36|
|LINDA     |WILLIAMS |                          2|
|BARBARA   |JONES    |                          2|
|ELIZABETH |BROWN    |                         10|
|JENNIFER  |DAVIS    |                         36|
|MARIA     |MILLER   |                          2|
|SUSAN     |WILSON   |                          1|
|MARGARET  |MOORE    |                          2|
|DOROTHY   |TAYLOR   |                          8|
|LISA      |ANDERSON |                         31|
|NANCY     |THOMAS   |                         60|
|KAREN     |JACKSON  |                         15|
|BETTY     |WHITE    |                         36|
|HELEN     |HARRIS   |                         60|
|SANDRA    |MARTIN   |                          9|
|DONNA     |THOMPSON |                         28|
|CAROL     |GARCIA   |                         13|
|RUTH      |MARTINEZ |                         11|
|SHARON    |ROBINSON |                          5|
|MICHELLE  |CLARK    |                          3|
|LAURA     |RODRIGUEZ|                          3|
|SARAH     |LEWIS    |                          2|
|KIMBERLY  |LEE      |                         13|
|DEBORAH   |WALKER   |                          5|
|JESSICA   |HALL     |                          1|
|SHIRLEY   |ALLEN    |                         20|
|CYNTHIA   |YOUNG    |                         60|
|ANGELA    |HERNANDEZ|                         31|
|MELISSA   |KING     |                         10|
|BRENDA    |WRIGHT   |                         60|
|AMY       |LOPEZ    |                         60|
|ANNA      |HILL     |                          7|
|REBECCA   |SCOTT    |                         31|
|VIRGINIA  |GREEN    |                          4|
|KATHLEEN  |ADAMS    |                          8|
|PAMELA    |BAKER    |                         53|
|MARTHA    |GONZALEZ |                          1|
|DEBRA     |NELSON   |                         28|
|AMANDA    |CARTER   |                          3|
|STEPHANIE |MITCHELL |                          1|
|CAROLYN   |PEREZ    |                          3|
|CHRISTINE |ROBERTS  |                          2|
|MARIE     |TURNER   |                         28|
|JANET     |PHILLIPS |                          3|
|CATHERINE |CAMPBELL |                         28|
|FRANCES   |PARKER   |                         28|
|ANN       |EVANS    |                         28|
|JOYCE     |EDWARDS  |                          5|
|DIANE     |COLLINS  |                          2|
|ALICE     |STEWART  |                         36|
|JULIE     |SANCHEZ  |                          5|
|HEATHER   |MORRIS   |                         31|
|TERESA    |ROGERS   |                         31|
|DORIS     |REED     |                         28|
|GLORIA    |COOK     |                          2|
|EVELYN    |MORGAN   |                          1|
|JEAN      |BELL     |                          3|
|CHERYL    |MURPHY   |                         60|
|MILDRED   |BAILEY   |                         60|
|KATHERINE |RIVERA   |                          3|
|JOAN      |COOPER   |                         36|
|ASHLEY    |RICHAR...|                         36|
|JUDITH    |COX      |                         53|
|ROSE      |HOWARD   |                          1|
|JANICE    |WARD     |                          1|
|KELLY     |TORRES   |                         53|
|NICOLE    |PETERSON |                         60|
|JUDY      |GRAY     |                          3|
|CHRISTINA |RAMIREZ  |                          5|
|KATHY     |JAMES    |                         20|
|THERESA   |WATSON   |                         20|
|BEVERLY   |BROOKS   |                         10|
|DENISE    |KELLY    |                         28|
|TAMMY     |SANDERS  |                         10|
|IRENE     |PRICE    |                          2|
|JANE      |BENNETT  |                         28|
|LORI      |WOOD     |                         60|
|RACHEL    |BARNES   |                         31|
|MARILYN   |ROSS     |                         13|
|ANDREA    |HENDERSON|                          1|
|KATHRYN   |COLEMAN  |                          6|
|LOUISE    |JENKINS  |                         11|
|SARA      |PERRY    |                         30|
|ANNE      |POWELL   |                          9|
|JACQUELINE|LONG     |                          3|
|WANDA     |PATTERSON|                          6|
|BONNIE    |HUGHES   |                          5|
|JULIA     |FLORES   |                         13|
|RUBY      |WASHIN...|                         53|
|LOIS      |BUTLER   |                          1|
|TINA      |SIMMONS  |                         28|
|PHYLLIS   |FOSTER   |                         53|
|NORMA     |GONZALES |                         20|
|PAULA     |BRYANT   |                         60|
|DIANA     |ALEXANDER|                         36|
|ANNIE     |RUSSELL  |                          3|
|LILLIAN   |GRIFFIN  |                          3|
|EMILY     |DIAZ     |                          5|
|ROBIN     |HAYES    |                         28|
|PEGGY     |MYERS    |                          5|
|CRYSTAL   |FORD     |                          4|
|GLADYS    |HAMILTON |                         13|
|RITA      |GRAHAM   |                          4|
|DAWN      |SULLIVAN |                          1|
|CONNIE    |WALLACE  |                         28|
|FLORENCE  |WOODS    |                         13|
|TRACY     |COLE     |                         30|
|EDNA      |WEST     |                         11|
|TIFFANY   |JORDAN   |                         53|
|CARMEN    |OWENS    |                          7|
|ROSA      |REYNOLDS |                         36|
|CINDY     |FISHER   |                          7|
|GRACE     |ELLIS    |                          7|
|WENDY     |HARRISON |                         30|
|VICTORIA  |GIBSON   |                         14|
|EDITH     |MCDONALD |                         60|
|KIM       |CRUZ     |                         36|
|SHERRY    |MARSHALL |                          6|
|SYLVIA    |ORTIZ    |                          6|
|JOSEPHINE |GOMEZ    |                         60|
|THELMA    |MURRAY   |                          4|
|SHANNON   |FREEMAN  |                         60|
|SHEILA    |WELLS    |                         15|
|ETHEL     |WEBB     |                         11|
|ELLEN     |SIMPSON  |                         28|
|ELAINE    |STEVENS  |                         28|
|MARJORIE  |TUCKER   |                          8|
|CARRIE    |PORTER   |                         53|
|CHARLOTTE |HUNTER   |                         28|
|MONICA    |HICKS    |                          6|
|ESTHER    |CRAWFORD |                         11|
|PAULINE   |HENRY    |                         30|
|EMMA      |BOYD     |                          6|
|JUANITA   |MASON    |                         60|
|ANITA     |MORALES  |                         60|
|RHONDA    |KENNEDY  |                          5|
|HAZEL     |WARREN   |                         53|
|AMBER     |DIXON    |                         10|
|EVA       |RAMOS    |                         36|
|DEBBIE    |REYES    |                         31|
|APRIL     |BURNS    |                          9|
|LESLIE    |GORDON   |                         15|
|CLARA     |SHAW     |                          2|
|LUCILLE   |HOLMES   |                         11|
|JAMIE     |RICE     |                         36|
|JOANNE    |ROBERTSON|                         31|
|ELEANOR   |HUNT     |                          1|
|VALERIE   |BLACK    |                         36|
|DANIELLE  |DANIELS  |                         30|
|MEGAN     |PALMER   |                         53|
|ALICIA    |MILLS    |                         60|
|SUZANNE   |NICHOLS  |                         14|
|MICHELE   |GRANT    |                         53|
|GAIL      |KNIGHT   |                          3|
|BERTHA    |FERGUSON |                         13|
|DARLENE   |ROSE     |                          1|
|VERONICA  |STONE    |                         36|
|JILL      |HAWKINS  |                          3|
|ERIN      |DUNN     |                         28|
|GERALDINE |PERKINS  |                          4|
|LAUREN    |HUDSON   |                          4|
|CATHY     |SPENCER  |                         31|
|JOANN     |GARDNER  |                         15|
|LORRAINE  |STEPHENS |                         53|
|LYNN      |PAYNE    |                          1|
|SALLY     |PIERCE   |                         60|
|REGINA    |BERRY    |                         53|
|ERICA     |MATTHEWS |                         53|
|BEATRICE  |ARNOLD   |                         60|
|DOLORES   |WAGNER   |                          3|
|BERNICE   |WILLIS   |                         15|
|AUDREY    |RAY      |                          3|
|YVONNE    |WATKINS  |                          7|
|ANNETTE   |OLSON    |                         60|
|JUNE      |CARROLL  |                          3|
|SAMANTHA  |DUNCAN   |                         30|
|MARION    |SNYDER   |                         28|
|DANA      |HART     |                         28|
|STACY     |CUNNIN...|                          6|
|ANA       |BRADLEY  |                         36|
|RENEE     |LANE     |                         36|
|IDA       |ANDREWS  |                         28|
|VIVIAN    |RUIZ     |                          5|
|ROBERTA   |HARPER   |                          8|
|HOLLY     |FOX      |                         60|
|BRITTANY  |RILEY    |                          6|
|MELANIE   |ARMSTRONG|                         20|
|LORETTA   |CARPENTER|                          5|
|YOLANDA   |WEAVER   |                          3|
|JEANETTE  |GREENE   |                         28|
|LAURIE    |LAWRENCE |                         60|
|KATIE     |ELLIOTT  |                          2|
|KRISTEN   |CHAVEZ   |                         31|
|VANESSA   |SIMS     |                          7|
|ALMA      |AUSTIN   |                          7|
|SUE       |PETERS   |                         53|
|ELSIE     |KELLEY   |                         13|
|BETH      |FRANKLIN |                          6|
|JEANNE    |LAWSON   |                          1|
|VICKI     |FIELDS   |                          7|
|CARLA     |GUTIERREZ|                         60|
|TARA      |RYAN     |                         14|
|ROSEMARY  |SCHMIDT  |                         15|
|EILEEN    |CARR     |                          3|
|TERRI     |VASQUEZ  |                         28|
|GERTRUDE  |CASTILLO |                          1|
|LUCY      |WHEELER  |                         60|
|TONYA     |CHAPMAN  |                         60|
|ELLA      |OLIVER   |                          4|
|STACEY    |MONTGO...|                         53|
|WILMA     |RICHARDS |                         36|
|GINA      |WILLIA...|                          4|
|KRISTIN   |JOHNSTON |                         36|
|JESSIE    |BANKS    |                          2|
|NATALIE   |MEYER    |                         28|
|AGNES     |BISHOP   |                         60|
|VERA      |MCCOY    |                          1|
|WILLIE    |HOWELL   |                         13|
|CHARLENE  |ALVAREZ  |                          3|
|BESSIE    |MORRISON |                          7|
|DELORES   |HANSEN   |                         28|
|MELINDA   |FERNANDEZ|                          5|
|PEARL     |GARZA    |                         60|
|ARLENE    |HARVEY   |                         60|
|MAUREEN   |LITTLE   |                          3|
|COLLEEN   |BURTON   |                          7|
|ALLISON   |STANLEY  |                          2|
|TAMARA    |NGUYEN   |                         28|
|JOY       |GEORGE   |                          2|
|GEORGIA   |JACOBS   |                         60|
|CONSTANCE |REID     |                         13|
|LILLIE    |KIM      |                          6|
|CLAUDIA   |FULLER   |                          1|
|JACKIE    |LYNCH    |                          6|
|MARCIA    |DEAN     |                         20|
|TANYA     |GILBERT  |                          5|
|NELLIE    |GARRETT  |                         60|
|MINNIE    |ROMERO   |                         14|
|MARLENE   |WELCH    |                         31|
|HEIDI     |LARSON   |                         53|
|GLENDA    |FRAZIER  |                         53|
|LYDIA     |BURKE    |                         13|
|VIOLA     |HANSON   |                         20|
|COURTNEY  |DAY      |                          5|
|MARIAN    |MENDOZA  |                         28|
|STELLA    |MORENO   |                         30|
|CAROLINE  |BOWMAN   |                         36|
|DORA      |MEDINA   |                         53|
|JO        |FOWLER   |                         13|
|VICKIE    |BREWER   |                          7|
|MATTIE    |HOFFMAN  |                          9|
|TERRY     |CARLSON  |                         31|
|MAXINE    |SILVA    |                         28|
|IRMA      |PEARSON  |                         20|
|MABEL     |HOLLAND  |                          2|
|MARSHA    |DOUGLAS  |                          3|
|MYRTLE    |FLEMING  |                          3|
|LENA      |JENSEN   |                         60|
|CHRISTY   |VARGAS   |                         53|
|DEANNA    |BYRD     |                         20|
|PATSY     |DAVIDSON |                          3|
|HILDA     |HOPKINS  |                         20|
|GWENDOLYN |MAY      |                         31|
|JENNIE    |TERRY    |                          1|
|NORA      |HERRERA  |                          3|
|MARGIE    |WADE     |                         53|
|NINA      |SOTO     |                         60|
|CASSANDRA |WALTERS  |                         36|
|LEAH      |CURTIS   |                          8|
|PENNY     |NEAL     |                         60|
|KAY       |CALDWELL |                         53|
|PRISCILLA |LOWE     |                         30|
|NAOMI     |JENNINGS |                         60|
|CAROLE    |BARNETT  |                         36|
|BRANDY    |GRAVES   |                         36|
|OLGA      |JIMENEZ  |                         13|
|BILLIE    |HORTON   |                         15|
|DIANNE    |SHELTON  |                          8|
|TRACEY    |BARRETT  |                         13|
|LEONA     |OBRIEN   |                         53|
